Geography,Geographic_Area_Name,Population 
1400000US11001000101,"Census Tract 1.01, District of Columbia, District of Columbia",1281
1400000US11001000102,"Census Tract 1.02, District of Columbia, District of Columbia",3227
1400000US11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3938
1400000US11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4425
1400000US11001000300,"Census Tract 3, District of Columbia, District of Columbia",5966
1400000US11001000400,"Census Tract 4, District of Columbia, District of Columbia",1500
1400000US11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3422
1400000US11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3481
1400000US11001000600,"Census Tract 6, District of Columbia, District of Columbia",4688
1400000US11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2865
1400000US11001000703,"Census Tract 7.03, District of Columbia, District of Columbia",3180
1400000US11001000704,"Census Tract 7.04, District of Columbia, District of Columbia",2571
1400000US11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",3384
1400000US11001000803,"Census Tract 8.03, District of Columbia, District of Columbia",2442
1400000US11001000804,"Census Tract 8.04, District of Columbia, District of Columbia",3835
1400000US11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",2390
1400000US11001000903,"Census Tract 9.03, District of Columbia, District of Columbia",4119
1400000US11001000904,"Census Tract 9.04, District of Columbia, District of Columbia",3130
1400000US11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3403
1400000US11001001003,"Census Tract 10.03, District of Columbia, District of Columbia",2984
1400000US11001001004,"Census Tract 10.04, District of Columbia, District of Columbia",4330
1400000US11001001100,"Census Tract 11, District of Columbia, District of Columbia",4521
1400000US11001001200,"Census Tract 12, District of Columbia, District of Columbia",5105
1400000US11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",4436
1400000US11001001303,"Census Tract 13.03, District of Columbia, District of Columbia",3506
1400000US11001001304,"Census Tract 13.04, District of Columbia, District of Columbia",4477
1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",3474
1400000US11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",3531
1400000US11001001500,"Census Tract 15, District of Columbia, District of Columbia",5889
1400000US11001001600,"Census Tract 16, District of Columbia, District of Columbia",4400
1400000US11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3610
1400000US11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",4148
1400000US11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",5279
1400000US11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",4456
1400000US11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",2385
1400000US11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",3581
1400000US11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",4252
1400000US11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",5626
1400000US11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",4859
1400000US11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",3178
1400000US11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",3486
1400000US11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",3110
1400000US11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",1648
1400000US11001002400,"Census Tract 24, District of Columbia, District of Columbia",3922
1400000US11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",2876
1400000US11001002503,"Census Tract 25.03, District of Columbia, District of Columbia",2925
1400000US11001002504,"Census Tract 25.04, District of Columbia, District of Columbia",3459
