year,census_tract,crime_count,city,state,geography,geographicareaname,population,hrc_count
2022,000101,19,Washington,DC,1400000US11001000101,"Census Tract 1.01, District of Columbia, District of Columbia",1281,0
2022,000102,228,Washington,DC,1400000US11001000102,"Census Tract 1.02, District of Columbia, District of Columbia",3227,0
2022,000201,13,Washington,DC,1400000US11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3938,0
2022,000202,202,Washington,DC,1400000US11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4425,0
2022,000300,73,Washington,DC,1400000US11001000300,"Census Tract 3, District of Columbia, District of Columbia",5966,0
2022,000400,52,Washington,DC,1400000US11001000400,"Census Tract 4, District of Columbia, District of Columbia",1500,0
2022,000501,84,Washington,DC,1400000US11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3422,0
2022,000502,44,Washington,DC,1400000US11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3481,1
2022,000600,96,Washington,DC,1400000US11001000600,"Census Tract 6, District of Columbia, District of Columbia",4688,0
2022,000702,40,Washington,DC,1400000US11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2865,0
2022,000703,32,Washington,DC,1400000US11001000703,"Census Tract 7.03, District of Columbia, District of Columbia",3180,0
2022,000704,34,Washington,DC,1400000US11001000704,"Census Tract 7.04, District of Columbia, District of Columbia",2571,0
2022,000802,25,Washington,DC,1400000US11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",3384,0
2022,000803,12,Washington,DC,1400000US11001000803,"Census Tract 8.03, District of Columbia, District of Columbia",2442,0
2022,000804,26,Washington,DC,1400000US11001000804,"Census Tract 8.04, District of Columbia, District of Columbia",3835,0
2022,000902,28,Washington,DC,1400000US11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",2390,0
2022,000903,10,Washington,DC,1400000US11001000903,"Census Tract 9.03, District of Columbia, District of Columbia",4119,0
2022,000904,24,Washington,DC,1400000US11001000904,"Census Tract 9.04, District of Columbia, District of Columbia",3130,0
2022,001002,83,Washington,DC,1400000US11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3403,0
2022,001003,20,Washington,DC,1400000US11001001003,"Census Tract 10.03, District of Columbia, District of Columbia",2984,0
2022,001004,102,Washington,DC,1400000US11001001004,"Census Tract 10.04, District of Columbia, District of Columbia",4330,0
2022,001100,204,Washington,DC,1400000US11001001100,"Census Tract 11, District of Columbia, District of Columbia",4521,1
2022,001200,79,Washington,DC,1400000US11001001200,"Census Tract 12, District of Columbia, District of Columbia",5105,0
2022,001301,65,Washington,DC,1400000US11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",4436,0
2022,001303,76,Washington,DC,1400000US11001001303,"Census Tract 13.03, District of Columbia, District of Columbia",3506,0
2022,001304,116,Washington,DC,1400000US11001001304,"Census Tract 13.04, District of Columbia, District of Columbia",4477,0
2022,001401,42,Washington,DC,1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",3474,0
2022,001402,48,Washington,DC,1400000US11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",3531,0
2022,001500,77,Washington,DC,1400000US11001001500,"Census Tract 15, District of Columbia, District of Columbia",5889,0
2022,001600,150,Washington,DC,1400000US11001001600,"Census Tract 16, District of Columbia, District of Columbia",4400,0
2022,001702,146,Washington,DC,1400000US11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3610,0
