Country_Region,Confirmed,Deaths,Recovered
Afghanistan,52513,2201,41727
Albania,58316,1181,33634
Algeria,99897,2762,67395
Andorra,8117,84,7463
Angola,17568,405,11146
Antigua and Barbuda,159,5,148
Argentina,1629594,43319,1426676
Armenia,159738,2828,143355
Australia,118,3,114
Australia,4947,54,0
Australia,75,0,71
Australia,1255,6,1224
Australia,580,4,566
Australia,234,13,221
Australia,20388,820,19539
Australia,863,9,838
Austria,358774,7564,334901
Azerbaijan,219041,2670,188280
Bahamas,7887,171,6239
Bahrain,92913,352,90369
Bangladesh,514500,7576,458656
Barbados,395,7,319
Belarus,196223,1433,178102
Belgium,79680,0,0
Belgium,81557,0,0
Belgium,65260,0,0
Belgium,49270,0,0
Belgium,102209,0,0
Belgium,97027,0,0
Belgium,29349,0,0
Belgium,18416,0,0
Belgium,35462,0,0
Belgium,10701,19581,0
Belgium,25144,0,0
Belgium,54214,0,0
Belize,10776,248,9795
Benin,3251,44,3061
Bhutan,689,0,449
Bolivia,160985,9175,132510
Bosnia and Herzegovina,112143,4086,77682
Botswana,14805,42,12136
Brazil,41689,796,33670
Brazil,105091,2496,99710
Brazil,68361,926,52670
Brazil,201574,5295,170178
Brazil,494684,9159,478198
Brazil,336504,10004,269846
Brazil,252077,4263,241952
Brazil,249271,5093,227931
Brazil,309191,6805,298401
Brazil,200959,4506,190884
Brazil,180659,4530,170171
Brazil,135361,2360,117816
Brazil,546884,12001,494278
Brazil,293807,7209,275483
Brazil,167062,3680,127030
Brazil,418323,7993,305194
Brazil,222993,9666,189850
Brazil,143210,2848,139971
Brazil,119338,3009,68394
Brazil,451912,8917,424406
Brazil,435390,25600,397324
Brazil,95999,1822,81122
Brazil,68858,787,65405
Brazil,494447,5270,467020
Brazil,1466191,46775,1287986
Brazil,113544,2492,99824
Brazil,90592,1239,80658
Brunei,157,3,149
Bulgaria,202540,7604,120343
Burkina Faso,6828,85,5152
Burma,125042,2697,107777
Burundi,822,2,687
Cabo Verde,11872,113,11569
Cambodia,379,0,362
Cameroon,26848,448,24892
Canada,100428,1046,84827
Canada,51990,901,42127
Canada,0,1,0
Canada,13,0,13
Canada,24700,667,19528
Canada,601,9,567
Canada,390,4,366
Canada,24,0,24
Canada,1497,65,1399
Canada,266,1,262
Canada,192482,4581,162622
Canada,94,0,89
Canada,208390,8388,170045
Canada,13,0,13
Canada,15634,155,12496
Canada,60,1,59
Central African Republic,4963,63,1924
Chad,2141,104,1704
Chile,23887,585,22670
Chile,23161,311,21736
Chile,10859,225,10408
Chile,8520,113,8328
Chile,1588,15,1436
Chile,47898,802,44427
Chile,14308,299,13731
Chile,26170,263,24352
Chile,9004,93,8239
Chile,17010,233,16264
Chile,25783,556,23574
Chile,319937,10813,304802
Chile,10821,218,9979
Chile,21682,588,20563
Chile,15896,287,14924
Chile,58,1,44
Chile,35982,1258,33726
China,993,6,986
China,988,9,944
China,590,6,584
China,513,1,488
China,182,2,180
China,2046,8,2011
China,264,2,261
China,147,2,145
China,171,6,165
China,373,6,367
China,964,13,942
China,1299,22,1270
China,8888,149,7912
China,68149,4512,63637
China,1021,4,1016
China,364,1,340
China,684,0,682
China,935,1,934
China,157,2,155
China,359,2,287
China,46,0,46
